,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-07-20,40.47,42.55,39.8,41.46,52286509,40.47,42.55,39.8,41.46,52286509,0.0,1.0
1,2015-07-21,39.35,41.11,39.12,41.08,32954573,39.35,41.11,39.12,41.08,32954573,0.0,1.0
2,2015-07-22,38.39,39.7178,38.1,39.35,25380859,38.39,39.7178,38.1,39.35,25380859,0.0,1.0
3,2015-07-23,37.01,38.75,36.93,38.74,19250154,37.01,38.75,36.93,38.74,19250154,0.0,1.0
4,2015-07-24,37.0,38.0,36.91,37.71,14274305,37.0,38.0,36.91,37.71,14274305,0.0,1.0
5,2015-07-27,36.39,37.38,36.22,36.78,16179913,36.39,37.38,36.22,36.78,16179913,0.0,1.0
6,2015-07-28,37.6,38.0,36.8296,37.19,18986016,37.6,38.0,36.8296,37.19,18986016,0.0,1.0
7,2015-07-29,37.95,38.1,37.62,38.03,11788439,37.95,38.1,37.62,38.03,11788439,0.0,1.0
8,2015-07-30,38.45,39.01,37.715,38.04,13845091,38.45,39.01,37.715,38.04,13845091,0.0,1.0
9,2015-07-31,38.7,39.2,38.2199,39.14,12480580,38.7,39.2,38.2199,39.14,12480580,0.0,1.0
10,2015-08-03,39.39,39.88,38.9,39.25,15126574,39.39,39.88,38.9,39.25,15126574,0.0,1.0
11,2015-08-04,38.95,39.91,38.43,39.91,10992217,38.95,39.91,38.43,39.91,10992217,0.0,1.0
12,2015-08-05,39.27,39.88,39.17,39.7,9349565,39.27,39.88,39.17,39.7,9349565,0.0,1.0
13,2015-08-06,38.85,39.74,38.55,39.63,7324116,38.85,39.74,38.55,39.63,7324116,0.0,1.0
14,2015-08-07,39.13,39.23,38.6,39.04,8331310,39.13,39.23,38.6,39.04,8331310,0.0,1.0
15,2015-08-10,39.05,39.69,38.7701,39.43,7998929,39.05,39.69,38.7701,39.43,7998929,0.0,1.0
16,2015-08-11,38.85,39.28,38.72,38.93,8184004,38.85,39.28,38.72,38.93,8184004,0.0,1.0
17,2015-08-12,38.19,38.58,37.01,38.55,21366670,38.19,38.58,37.01,38.55,21366670,0.0,1.0
18,2015-08-13,37.62,38.49,37.44,38.4,7863525,37.62,38.49,37.44,38.4,7863525,0.0,1.0
19,2015-08-14,38.14,38.18,37.38,37.49,6271143,38.14,38.18,37.38,37.49,6271143,0.0,1.0
20,2015-08-17,38.73,38.75,37.7,38.3,4931711,38.73,38.75,37.7,38.3,4931711,0.0,1.0
21,2015-08-18,37.99,39.0,37.87,39.0,4678847,37.99,39.0,37.87,39.0,4678847,0.0,1.0
22,2015-08-19,37.19,38.1,37.03,37.87,6923402,37.19,38.1,37.03,37.87,6923402,0.0,1.0
23,2015-08-20,35.98,37.34,35.88,36.85,10645667,35.98,37.34,35.88,36.85,10645667,0.0,1.0
24,2015-08-21,34.25,36.11,33.83,35.57,16824144,34.25,36.11,33.83,35.57,16824144,0.0,1.0
25,2015-08-24,33.75,34.85,30.0,31.17,19676580,33.75,34.85,30.0,31.17,19676580,0.0,1.0
26,2015-08-25,32.7,35.46,32.7,35.44,15557082,32.7,35.46,32.7,35.44,15557082,0.0,1.0
27,2015-08-26,33.17,33.84,31.71,33.7,25350364,33.17,33.84,31.71,33.7,25350364,0.0,1.0
28,2015-08-27,34.62,34.77,33.16,34.0,18909574,34.62,34.77,33.16,34.0,18909574,0.0,1.0
29,2015-08-28,35.04,35.26,34.37,34.51,8344820,35.04,35.26,34.37,34.51,8344820,0.0,1.0
30,2015-08-31,35.0,35.51,34.77,35.49,12123766,35.0,35.51,34.77,35.49,12123766,0.0,1.0
31,2015-09-01,33.77,34.68,33.41,34.24,13375959,33.77,34.68,33.41,34.24,13375959,0.0,1.0
32,2015-09-02,35.07,35.08,33.835,34.6,7521045,35.07,35.08,33.835,34.6,7521045,0.0,1.0
33,2015-09-03,35.31,35.46,34.77,35.01,6683814,35.31,35.46,34.77,35.01,6683814,0.0,1.0
34,2015-09-04,34.29,34.72,33.78,34.71,7483792,34.29,34.72,33.78,34.71,7483792,0.0,1.0
35,2015-09-08,34.7,34.89,34.25,34.81,7674452,34.7,34.89,34.25,34.81,7674452,0.0,1.0
36,2015-09-09,34.37,34.95,33.88,34.92,10946887,34.37,34.95,33.88,34.92,10946887,0.0,1.0
37,2015-09-10,33.46,34.29,32.95,34.23,12134501,33.46,34.29,32.95,34.23,12134501,0.0,1.0
38,2015-09-11,33.55,33.59,32.61,33.27,9184211,33.55,33.59,32.61,33.27,9184211,0.0,1.0
39,2015-09-14,33.77,33.95,33.2,33.7,7897681,33.77,33.95,33.2,33.7,7897681,0.0,1.0
40,2015-09-15,33.8,33.95,32.67,33.72,11874863,33.8,33.95,32.67,33.72,11874863,0.0,1.0
41,2015-09-16,33.77,34.06,33.36,33.46,7183907,33.77,34.06,33.36,33.46,7183907,0.0,1.0
42,2015-09-17,33.32,33.99,33.08,33.72,7846799,33.32,33.99,33.08,33.72,7846799,0.0,1.0
43,2015-09-18,32.92,33.78,32.55,32.9,16488139,32.92,33.78,32.55,32.9,16488139,0.0,1.0
44,2015-09-21,34.25,34.62,33.43,33.66,12736464,34.25,34.62,33.43,33.66,12736464,0.0,1.0
45,2015-09-22,33.35,34.1,33.1899,33.94,8538006,33.35,34.1,33.1899,33.94,8538006,0.0,1.0
46,2015-09-23,34.16,34.34,33.26,33.49,5405501,34.16,34.34,33.26,33.49,5405501,0.0,1.0
47,2015-09-24,33.91,34.07,33.38,34.0,6544533,33.91,34.07,33.38,34.0,6544533,0.0,1.0
48,2015-09-25,33.77,34.69,33.5,34.6,6566750,33.77,34.69,33.5,34.6,6566750,0.0,1.0
49,2015-09-28,32.25,33.68,32.155,33.68,7202535,32.25,33.68,32.155,33.68,7202535,0.0,1.0
50,2015-09-29,30.63,32.67,30.3,32.27,12008145,30.63,32.67,30.3,32.27,12008145,0.0,1.0
51,2015-09-30,31.04,31.28,30.64,31.2,13537262,31.04,31.28,30.64,31.2,13537262,0.0,1.0
52,2015-10-01,31.48,31.587,30.75,30.82,9656980,31.48,31.587,30.75,30.82,9656980,0.0,1.0
53,2015-10-02,32.83,32.86,30.75,30.82,7609776,32.83,32.86,30.75,30.82,7609776,0.0,1.0
54,2015-10-05,32.67,33.02,32.38,32.95,6119068,32.67,33.02,32.38,32.95,6119068,0.0,1.0
55,2015-10-06,31.86,32.91,31.78,32.91,7443781,31.86,32.91,31.78,32.91,7443781,0.0,1.0
56,2015-10-07,32.38,32.471,31.52,32.31,6969581,32.38,32.471,31.52,32.31,6969581,0.0,1.0
57,2015-10-08,31.67,32.45,31.09,32.44,9281454,31.67,32.45,31.09,32.44,9281454,0.0,1.0
58,2015-10-09,32.06,32.45,31.41,31.69,5911405,32.06,32.45,31.41,31.69,5911405,0.0,1.0
59,2015-10-12,32.63,32.67,32.1,32.19,3915468,32.63,32.67,32.1,32.19,3915468,0.0,1.0
60,2015-10-13,33.22,33.48,32.3399,32.6,8787712,33.22,33.48,32.3399,32.6,8787712,0.0,1.0
61,2015-10-14,34.05,34.46,33.4,33.4,8198250,34.05,34.46,33.4,33.4,8198250,0.0,1.0
62,2015-10-15,34.62,34.72,34.16,34.45,9103243,34.62,34.72,34.16,34.45,9103243,0.0,1.0
63,2015-10-16,34.29,35.05,33.95,34.75,5390718,34.29,35.05,33.95,34.75,5390718,0.0,1.0
64,2015-10-19,34.84,34.905,33.79,34.43,5855686,34.84,34.905,33.79,34.43,5855686,0.0,1.0
65,2015-10-20,34.87,34.99,34.59,34.8,6084245,34.87,34.99,34.59,34.8,6084245,0.0,1.0
66,2015-10-21,33.83,34.8,32.88,34.75,9113873,33.83,34.8,32.88,34.75,9113873,0.0,1.0
